MEM_MATCH_ID,richness,RA_cen,DEC_cen,Z_LAMBDA,P_CEN1,Mr01_BCG,color_BCG,M200m_h07
1510,49.323547,149.74569382371055,-0.20607615234915003,0.16749105,0.99643,-22.361921,0.9832649,4.519410698546529E14
1513,49.826958,0.9913994359050093,28.12180105496006,0.2004358,0.9993591,-22.923727,0.9790325,4.5692473876464006E14
1518,54.6933,250.1227698841589,23.616849868542044,0.25369164,0.9999812,-22.773464,1.0237789,5.0530319296331175E14
1521,62.717415,205.13602143075644,22.669176945946912,0.26696604,0.9997685,-23.008657,0.9543247,5.858175015187172E14
1522,49.826958,139.33900090049727,52.76859880594741,0.1884318,0.99996966,-22.260502,1.0400562,4.5692473876464006E14
1530,42.53508,218.60565403121842,54.81406519842265,0.1417725,0.9944522,-22.451551,0.9283352,3.851502379641134E14
1533,54.15937,224.87376830466002,55.946895887230596,0.20109448,0.99862176,-22.239054,1.0073128,4.999777252785832E14
1536,51.825363,164.62124474086139,41.129311010870126,0.33402145,0.47535834,-22.777178,0.9276104,4.767480118236673E14
1537,49.384567,180.95293133560273,4.345377981439279,0.13210098,0.98052824,-22.686428,1.023674,4.525449332259802E14
1544,58.827393,202.89508548173256,10.705827886228633,0.2994354,0.99671566,-22.21891,0.9777107,5.466748962172542E14
1546,49.21676,155.73801149466846,27.726282583788134,0.34357518,0.9760572,-22.263306,1.0416222,4.508844062845615E14
1550,54.23565,246.7368187899488,46.77531130788764,0.2614826,0.8294247,-21.725142,0.89600945,5.0073828814135175E14
1557,76.87403,232.91456922078072,8.327265206680455,0.30440837,0.95025814,-22.78001,0.989439,7.298359258210605E14
1559,47.93534,236.03921824685602,36.19192727131557,0.19165011,0.9111984,-21.675154,1.0309944,4.382192627684289E14
1561,45.143684,5.240899737800809,0.15543319062118682,0.22470775,0.525318,-22.381605,0.97608757,4.107219644240993E14
1563,41.89437,325.00434267097233,-8.09816711948723,0.12755677,0.9995084,-22.420116,1.0250893,3.7888836615354456E14
1564,48.94217,191.87752707994974,59.19985245308486,0.15074308,0.99998266,-22.269562,0.96536636,4.4816816076071356E14
1568,60.26136,245.50158772402102,17.17791661038294,0.24399173,0.99821436,-22.807964,0.9962616,5.610805965003944E14
1572,42.99273,186.5217115549446,62.540489942910554,0.16845265,0.5303324,-22.382458,0.99608994,3.896276511877294E14
1576,41.69606,175.3129860360312,10.720955650659759,0.10112989,0.7756061,-21.49478,0.97597504,3.769517380825207E14
1577,43.069008,20.698042621079125,-10.400877275823607,0.107171856,0.9999943,-22.957512,0.98843956,3.90374308299561E14
1579,53.28984,202.99209624840546,16.115916683924787,0.1917318,0.9988965,-22.4206,1.0678139,4.9131398940088906E14
1580,39.636635,165.5494544483065,50.34917114151536,0.13973252,0.5062166,-22.197702,0.94656754,3.568844785050482E14
1582,52.725403,32.55300204453181,-8.562320198023937,0.22923352,0.97541493,-22.34242,0.98293495,4.8569618411699525E14
1584,61.512268,173.44985442111386,39.833520527714775,0.30463824,0.7948813,-22.545935,0.966671,5.736695777724958E14
1585,44.625015,168.71441454136115,16.720434577472773,0.1893401,0.9851204,-22.227001,1.0737686,4.056279016855157E14
1589,58.064644,226.84653462923347,42.734087553048724,0.21325652,0.9990986,-22.647757,1.0082455,5.3902371912726144E14
1590,37.333138,160.2628028332834,39.921654785669,0.13902329,0.74490523,-22.242027,0.8781147,3.3453781472955656E14
1592,57.256134,185.02419453784063,34.53827902508852,0.23668027,0.9999573,-23.190874,0.992136,5.3092224816855044E14
1594,41.42147,123.67411088454736,6.907310216794736,0.11352026,0.9897198,-22.541504,0.9707203,3.742714793456055E14
1595,51.032104,213.21738414417547,29.241263031144463,0.22216737,0.99927616,-22.6259,1.0575314,4.688718126219598E14
1597,49.354057,256.44698755930426,33.415177682610896,0.24833831,0.929151,-22.409328,1.0433197,4.522430355296565E14
1599,69.7347,117.24107029246957,36.58556674850278,0.34422803,0.7267664,-22.788065,0.9800186,6.569132607736836E14
1601,53.61019,162.42974928122442,44.34322171115819,0.24362178,0.9790375,-22.69096,1.0188236,4.945045529682874E14
1603,52.877953,217.008521988418,20.029625635611964,0.24939127,0.99998724,-22.369493,1.0283318,4.872140122727943E14
